reading_id,timestamp,hour,day_of_week,zone,tag_id,metric,value,classification,alert,pipeline_latency_ms,battery_co2_saved_g
16,2026-08-01 00:20:00,0,Saturday,greenhouse-A,bdd640fb7d62,rssi_dbm,-57.9,NORMAL,False,0.469,7.68
17,2026-08-01 00:20:00,0,Saturday,greenhouse-A,6c0311990f41,rssi_dbm,-56.2,NORMAL,False,0.36,8.16
18,2026-08-01 00:20:00,0,Saturday,greenhouse-A,17fc695a771f,rssi_dbm,-57.1,NORMAL,False,0.507,8.64
19,2026-08-01 00:20:00,0,Saturday,greenhouse-B,8b8148f670dd,rssi_dbm,-62.9,NORMAL,False,0.196,9.12
20,2026-08-01 00:20:00,0,Saturday,greenhouse-B,b2b9437aae35,temperature_c,18.85,NORMAL,False,0.302,9.6
21,2026-08-01 00:25:00,0,Saturday,greenhouse-A,6c0311990f41,temperature_c,16.59,NORMAL,False,0.392,10.08
22,2026-08-01 00:25:00,0,Saturday,greenhouse-B,472293896e3d,rssi_dbm,-64.0,NORMAL,False,0.339,10.56
23,2026-08-01 00:30:00,0,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,15.82,NORMAL,False,0.507,11.04
24,2026-08-01 00:30:00,0,Saturday,greenhouse-A,392456de347a,temperature_c,17.1,NORMAL,False,0.452,11.52
25,2026-08-01 00:30:00,0,Saturday,greenhouse-B,562b0f792f7c,temperature_c,18.78,NORMAL,False,0.159,12.0
26,2026-08-01 00:35:00,0,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,16.68,NORMAL,False,0.385,12.48
27,2026-08-01 00:35:00,0,Saturday,greenhouse-A,17fc695a771f,rssi_dbm,-57.9,NORMAL,False,0.387,12.96
28,2026-08-01 00:35:00,0,Saturday,greenhouse-B,8b8148f670dd,rssi_dbm,-63.5,NORMAL,False,0.561,13.44
29,2026-08-01 00:35:00,0,Saturday,greenhouse-B,de8a774b51be,temperature_c,18.24,NORMAL,False,0.387,13.92
30,2026-08-01 00:35:00,0,Saturday,greenhouse-B,472293896e3d,temperature_c,18.45,NORMAL,False,0.415,14.4
31,2026-08-01 00:35:00,0,Saturday,greenhouse-B,562b0f792f7c,temperature_c,18.95,NORMAL,False,0.43,14.88
32,2026-08-01 00:40:00,0,Saturday,greenhouse-A,392456de347a,temperature_c,16.98,NORMAL,False,0.324,15.36
33,2026-08-01 00:40:00,0,Saturday,greenhouse-B,8b8148f670dd,temperature_c,18.37,NORMAL,False,0.465,15.84
34,2026-08-01 00:40:00,0,Saturday,greenhouse-B,562b0f792f7c,temperature_c,19.35,NORMAL,False,3.122,16.32
35,2026-08-01 00:50:00,0,Saturday,greenhouse-A,392456de347a,rssi_dbm,-60.2,NORMAL,False,0.348,16.8
36,2026-08-01 00:50:00,0,Saturday,greenhouse-A,6c0311990f41,temperature_c,16.73,NORMAL,False,0.315,17.28
37,2026-08-01 00:50:00,0,Saturday,greenhouse-A,17fc695a771f,temperature_c,16.45,NORMAL,False,0.461,17.76
38,2026-08-01 00:50:00,0,Saturday,greenhouse-B,8b8148f670dd,rssi_dbm,-64.1,NORMAL,False,0.377,18.24
39,2026-08-01 00:50:00,0,Saturday,greenhouse-B,b2b9437aae35,rssi_dbm,-61.7,NORMAL,False,0.41,18.72
40,2026-08-01 00:50:00,0,Saturday,greenhouse-B,472293896e3d,temperature_c,17.92,NORMAL,False,0.447,19.2
41,2026-08-01 00:55:00,0,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,16.56,NORMAL,False,0.406,19.68
42,2026-08-01 00:55:00,0,Saturday,greenhouse-B,8b8148f670dd,rssi_dbm,-61.6,NORMAL,False,0.408,20.16
43,2026-08-01 00:55:00,0,Saturday,greenhouse-B,de8a774b51be,temperature_c,17.74,NORMAL,False,0.29,20.64
44,2026-08-01 00:55:00,0,Saturday,greenhouse-B,b2b9437aae35,rssi_dbm,-62.9,NORMAL,False,0.451,21.12
45,2026-08-01 01:00:00,1,Saturday,greenhouse-A,bdd640fb7d62,rssi_dbm,-59.9,NORMAL,False,0.474,21.6
46,2026-08-01 01:00:00,1,Saturday,greenhouse-A,17fc695a771f,temperature_c,17.06,NORMAL,False,0.413,22.08
47,2026-08-01 01:00:00,1,Saturday,greenhouse-B,8b8148f670dd,temperature_c,18.97,NORMAL,False,0.16,22.56
48,2026-08-01 01:00:00,1,Saturday,greenhouse-B,de8a774b51be,temperature_c,18.59,NORMAL,False,0.425,23.04
49,2026-08-01 01:00:00,1,Saturday,greenhouse-B,562b0f792f7c,rssi_dbm,-63.2,NORMAL,False,0.405,23.52
50,2026-08-01 01:05:00,1,Saturday,greenhouse-A,392456de347a,temperature_c,16.32,NORMAL,False,0.317,24.0
51,2026-08-01 01:05:00,1,Saturday,greenhouse-A,17fc695a771f,temperature_c,16.83,NORMAL,False,2.642,24.48
52,2026-08-01 01:05:00,1,Saturday,greenhouse-B,de8a774b51be,temperature_c,19.23,NORMAL,False,0.308,24.96
53,2026-08-01 01:05:00,1,Saturday,greenhouse-B,472293896e3d,rssi_dbm,-64.6,NORMAL,False,0.256,25.44
54,2026-08-01 01:05:00,1,Saturday,greenhouse-B,562b0f792f7c,temperature_c,18.44,NORMAL,False,0.288,25.92
55,2026-08-01 01:10:00,1,Saturday,greenhouse-A,392456de347a,temperature_c,16.62,NORMAL,False,0.306,26.4
56,2026-08-01 01:10:00,1,Saturday,greenhouse-A,17fc695a771f,temperature_c,16.79,NORMAL,False,0.584,26.88
57,2026-08-01 01:10:00,1,Saturday,greenhouse-B,b2b9437aae35,temperature_c,18.89,NORMAL,False,0.087,27.36
58,2026-08-01 01:10:00,1,Saturday,greenhouse-B,472293896e3d,temperature_c,18.33,NORMAL,False,0.237,27.84
59,2026-08-01 01:10:00,1,Saturday,greenhouse-B,562b0f792f7c,temperature_c,18.35,NORMAL,False,0.582,28.32
60,2026-08-01 01:15:00,1,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,16.67,NORMAL,False,0.249,28.8
61,2026-08-01 01:15:00,1,Saturday,greenhouse-A,6c0311990f41,temperature_c,16.44,NORMAL,False,0.42,29.28
62,2026-08-01 01:15:00,1,Saturday,greenhouse-A,17fc695a771f,rssi_dbm,-56.0,NORMAL,False,0.243,29.76
63,2026-08-01 01:15:00,1,Saturday,greenhouse-B,8b8148f670dd,temperature_c,18.12,NORMAL,False,0.414,30.24
64,2026-08-01 01:20:00,1,Saturday,greenhouse-A,392456de347a,temperature_c,16.95,NORMAL,False,0.148,30.72
65,2026-08-01 01:20:00,1,Saturday,greenhouse-A,6c0311990f41,temperature_c,17.05,NORMAL,False,0.581,31.2
66,2026-08-01 01:20:00,1,Saturday,greenhouse-A,17fc695a771f,rssi_dbm,-58.4,NORMAL,False,0.585,31.68
67,2026-08-01 01:20:00,1,Saturday,greenhouse-B,b2b9437aae35,temperature_c,18.18,NORMAL,False,0.598,32.16
68,2026-08-01 01:25:00,1,Saturday,greenhouse-B,de8a774b51be,temperature_c,18.74,NORMAL,False,3.734,32.64
69,2026-08-01 01:25:00,1,Saturday,greenhouse-B,562b0f792f7c,temperature_c,17.97,NORMAL,False,0.541,33.12
70,2026-08-01 01:30:00,1,Saturday,greenhouse-A,bdd640fb7d62,rssi_dbm,-56.6,NORMAL,False,0.297,33.6
71,2026-08-01 01:30:00,1,Saturday,greenhouse-A,17fc695a771f,rssi_dbm,-58.5,NORMAL,False,0.153,34.08
72,2026-08-01 01:30:00,1,Saturday,greenhouse-B,8b8148f670dd,temperature_c,19.07,NORMAL,False,0.291,34.56
73,2026-08-01 01:30:00,1,Saturday,greenhouse-B,472293896e3d,temperature_c,18.6,NORMAL,False,0.487,35.04
74,2026-08-01 01:35:00,1,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.02,NORMAL,False,0.342,35.52
75,2026-08-01 01:35:00,1,Saturday,greenhouse-A,392456de347a,temperature_c,16.89,NORMAL,False,0.355,36.0
76,2026-08-01 01:35:00,1,Saturday,greenhouse-A,6c0311990f41,temperature_c,16.92,NORMAL,False,0.398,36.48
77,2026-08-01 01:35:00,1,Saturday,greenhouse-A,17fc695a771f,temperature_c,16.42,NORMAL,False,0.39,36.96
78,2026-08-01 01:35:00,1,Saturday,greenhouse-B,472293896e3d,rssi_dbm,-63.5,NORMAL,False,0.176,37.44
79,2026-08-01 01:40:00,1,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,16.94,NORMAL,False,0.316,37.92
80,2026-08-01 01:40:00,1,Saturday,greenhouse-A,17fc695a771f,temperature_c,16.51,NORMAL,False,0.284,38.4
81,2026-08-01 01:40:00,1,Saturday,greenhouse-B,8b8148f670dd,rssi_dbm,-63.4,NORMAL,False,0.366,38.88
82,2026-08-01 01:40:00,1,Saturday,greenhouse-B,de8a774b51be,temperature_c,18.58,NORMAL,False,0.365,39.36
83,2026-08-01 01:45:00,1,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,16.76,NORMAL,False,0.441,39.84
84,2026-08-01 01:45:00,1,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,17.22,NORMAL,False,0.28,40.32
85,2026-08-01 01:45:00,1,Saturday,greenhouse-A,392456de347a,temperature_c,16.49,NORMAL,False,0.461,40.8
86,2026-08-01 01:45:00,1,Saturday,greenhouse-B,8b8148f670dd,temperature_c,18.44,NORMAL,False,0.285,41.28
87,2026-08-01 01:50:00,1,Saturday,greenhouse-A,392456de347a,temperature_c,16.36,NORMAL,False,0.372,41.76
88,2026-08-01 01:50:00,1,Saturday,greenhouse-B,b2b9437aae35,temperature_c,18.95,NORMAL,False,0.391,42.24
89,2026-08-01 01:50:00,1,Saturday,greenhouse-B,562b0f792f7c,temperature_c,18.27,NORMAL,False,0.344,42.72
90,2026-08-01 01:55:00,1,Saturday,greenhouse-B,8b8148f670dd,temperature_c,18.58,NORMAL,False,0.086,43.2
91,2026-08-01 01:55:00,1,Saturday,greenhouse-B,b2b9437aae35,temperature_c,18.05,NORMAL,False,0.272,43.68
92,2026-08-01 01:55:00,1,Saturday,greenhouse-B,472293896e3d,rssi_dbm,-63.4,NORMAL,False,0.489,44.16
93,2026-08-01 01:55:00,1,Saturday,greenhouse-B,562b0f792f7c,temperature_c,18.75,NORMAL,False,0.391,44.64
94,2026-08-01 02:00:00,2,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,16.97,NORMAL,False,2.177,45.12
95,2026-08-01 02:00:00,2,Saturday,greenhouse-A,6c0311990f41,temperature_c,17.1,NORMAL,False,0.335,45.6
96,2026-08-01 02:00:00,2,Saturday,greenhouse-B,de8a774b51be,temperature_c,19.33,NORMAL,False,0.108,46.08
97,2026-08-01 02:05:00,2,Saturday,greenhouse-A,bdd640fb7d62,rssi_dbm,-60.4,NORMAL,False,0.559,46.56
98,2026-08-01 02:05:00,2,Saturday,greenhouse-B,de8a774b51be,temperature_c,19.01,NORMAL,False,0.212,47.04
99,2026-08-01 02:10:00,2,Saturday,greenhouse-A,392456de347a,temperature_c,17.29,NORMAL,False,0.4,47.52
100,2026-08-01 02:10:00,2,Saturday,greenhouse-A,6c0311990f41,temperature_c,17.0,NORMAL,False,0.474,48.0
101,2026-08-01 02:10:00,2,Saturday,greenhouse-B,8b8148f670dd,temperature_c,19.18,NORMAL,False,0.437,48.48
102,2026-08-01 02:10:00,2,Saturday,greenhouse-B,562b0f792f7c,temperature_c,19.37,NORMAL,False,0.138,48.96
103,2026-08-01 02:15:00,2,Saturday,greenhouse-B,b2b9437aae35,temperature_c,18.9,NORMAL,False,0.363,49.44
104,2026-08-01 02:15:00,2,Saturday,greenhouse-B,472293896e3d,rssi_dbm,-63.3,NORMAL,False,0.367,49.92
105,2026-08-01 02:15:00,2,Saturday,greenhouse-B,562b0f792f7c,temperature_c,18.99,NORMAL,False,0.306,50.4
106,2026-08-01 02:20:00,2,Saturday,greenhouse-A,392456de347a,temperature_c,17.38,NORMAL,False,0.089,50.88
107,2026-08-01 02:20:00,2,Saturday,greenhouse-B,562b0f792f7c,temperature_c,18.98,NORMAL,False,0.347,51.36
108,2026-08-01 02:25:00,2,Saturday,greenhouse-A,392456de347a,rssi_dbm,-58.0,NORMAL,False,0.375,51.84
109,2026-08-01 02:25:00,2,Saturday,greenhouse-B,de8a774b51be,temperature_c,18.85,NORMAL,False,0.394,52.32
110,2026-08-01 02:25:00,2,Saturday,greenhouse-B,562b0f792f7c,temperature_c,19.52,NORMAL,False,0.411,52.8
111,2026-08-01 02:30:00,2,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.38,NORMAL,False,0.391,53.28
112,2026-08-01 02:30:00,2,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,17.52,NORMAL,False,0.323,53.76
113,2026-08-01 02:30:00,2,Saturday,greenhouse-A,392456de347a,temperature_c,16.85,NORMAL,False,0.26,54.24
114,2026-08-01 02:30:00,2,Saturday,greenhouse-B,472293896e3d,temperature_c,19.59,NORMAL,False,0.468,54.72
115,2026-08-01 02:35:00,2,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.61,NORMAL,False,0.383,55.2
116,2026-08-01 02:35:00,2,Saturday,greenhouse-A,392456de347a,rssi_dbm,-59.6,NORMAL,False,0.426,55.68
117,2026-08-01 02:35:00,2,Saturday,greenhouse-A,6c0311990f41,temperature_c,17.71,NORMAL,False,0.281,56.16
118,2026-08-01 02:35:00,2,Saturday,greenhouse-B,de8a774b51be,temperature_c,18.78,NORMAL,False,0.504,56.64
119,2026-08-01 02:35:00,2,Saturday,greenhouse-B,472293896e3d,rssi_dbm,-63.5,NORMAL,False,0.324,57.12
120,2026-08-01 02:40:00,2,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.59,NORMAL,False,0.517,57.6
121,2026-08-01 02:40:00,2,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,17.47,NORMAL,False,0.571,58.08
122,2026-08-01 02:40:00,2,Saturday,greenhouse-A,6c0311990f41,temperature_c,16.68,NORMAL,False,0.296,58.56
123,2026-08-01 02:40:00,2,Saturday,greenhouse-B,8b8148f670dd,temperature_c,19.51,NORMAL,False,0.332,59.04
124,2026-08-01 02:40:00,2,Saturday,greenhouse-B,472293896e3d,temperature_c,18.84,NORMAL,False,0.289,59.52
125,2026-08-01 02:45:00,2,Saturday,greenhouse-A,a3b1799d0cce,rssi_dbm,-58.2,NORMAL,False,0.327,60.0
126,2026-08-01 02:45:00,2,Saturday,greenhouse-B,562b0f792f7c,temperature_c,19.22,NORMAL,False,0.527,60.48
127,2026-08-01 02:50:00,2,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,16.72,NORMAL,False,0.336,60.96
128,2026-08-01 02:50:00,2,Saturday,greenhouse-A,392456de347a,rssi_dbm,-59.2,NORMAL,False,0.401,61.44
129,2026-08-01 02:50:00,2,Saturday,greenhouse-A,17fc695a771f,rssi_dbm,-59.2,NORMAL,False,0.672,61.92
130,2026-08-01 02:50:00,2,Saturday,greenhouse-B,b2b9437aae35,rssi_dbm,-61.8,NORMAL,False,0.453,62.4
131,2026-08-01 02:50:00,2,Saturday,greenhouse-B,562b0f792f7c,temperature_c,19.16,NORMAL,False,3.87,62.88
132,2026-08-01 02:55:00,2,Saturday,greenhouse-A,a3b1799d0cce,rssi_dbm,-55.9,NORMAL,False,0.274,63.36
133,2026-08-01 02:55:00,2,Saturday,greenhouse-A,bdd640fb7d62,rssi_dbm,-57.7,NORMAL,False,0.594,63.84
134,2026-08-01 02:55:00,2,Saturday,greenhouse-A,17fc695a771f,rssi_dbm,-58.3,NORMAL,False,0.321,64.32
135,2026-08-01 02:55:00,2,Saturday,greenhouse-B,8b8148f670dd,temperature_c,18.99,NORMAL,False,0.35,64.8
136,2026-08-01 02:55:00,2,Saturday,greenhouse-B,b2b9437aae35,temperature_c,18.74,NORMAL,False,0.421,65.28
137,2026-08-01 02:55:00,2,Saturday,greenhouse-B,472293896e3d,temperature_c,18.65,NORMAL,False,0.379,65.76
138,2026-08-01 02:55:00,2,Saturday,greenhouse-B,562b0f792f7c,rssi_dbm,-61.8,NORMAL,False,0.36,66.24
139,2026-08-01 03:00:00,3,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,18.12,NORMAL,False,0.472,66.72
140,2026-08-01 03:00:00,3,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,16.91,NORMAL,False,0.519,67.2
141,2026-08-01 03:00:00,3,Saturday,greenhouse-B,b2b9437aae35,temperature_c,19.11,NORMAL,False,0.496,67.68
142,2026-08-01 03:00:00,3,Saturday,greenhouse-B,472293896e3d,temperature_c,18.82,NORMAL,False,0.184,68.16
143,2026-08-01 03:00:00,3,Saturday,greenhouse-B,562b0f792f7c,temperature_c,19.23,NORMAL,False,0.279,68.64
144,2026-08-01 03:05:00,3,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.63,NORMAL,False,0.389,69.12
145,2026-08-01 03:05:00,3,Saturday,greenhouse-B,de8a774b51be,temperature_c,19.01,NORMAL,False,0.34,69.6
146,2026-08-01 03:05:00,3,Saturday,greenhouse-B,b2b9437aae35,temperature_c,19.8,NORMAL,False,0.236,70.08
147,2026-08-01 03:05:00,3,Saturday,greenhouse-B,562b0f792f7c,temperature_c,19.25,NORMAL,False,0.41,70.56
148,2026-08-01 03:10:00,3,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.99,NORMAL,False,0.28,71.04
149,2026-08-01 03:10:00,3,Saturday,greenhouse-A,392456de347a,rssi_dbm,-57.7,NORMAL,False,0.333,71.52
150,2026-08-01 03:10:00,3,Saturday,greenhouse-A,6c0311990f41,rssi_dbm,-56.7,NORMAL,False,0.414,72.0
151,2026-08-01 03:10:00,3,Saturday,greenhouse-A,17fc695a771f,temperature_c,17.77,NORMAL,False,0.246,72.48
152,2026-08-01 03:10:00,3,Saturday,greenhouse-B,8b8148f670dd,temperature_c,19.63,NORMAL,False,0.171,72.96
153,2026-08-01 03:10:00,3,Saturday,greenhouse-B,b2b9437aae35,rssi_dbm,-65.6,NORMAL,False,0.326,73.44
154,2026-08-01 03:10:00,3,Saturday,greenhouse-B,472293896e3d,temperature_c,19.08,NORMAL,False,0.544,73.92
155,2026-08-01 03:20:00,3,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,18.02,NORMAL,False,0.285,74.4
156,2026-08-01 03:20:00,3,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,18.3,NORMAL,False,0.378,74.88
157,2026-08-01 03:20:00,3,Saturday,greenhouse-A,6c0311990f41,temperature_c,17.81,NORMAL,False,0.317,75.36
158,2026-08-01 03:20:00,3,Saturday,greenhouse-B,8b8148f670dd,temperature_c,19.43,NORMAL,False,0.266,75.84
159,2026-08-01 03:20:00,3,Saturday,greenhouse-B,562b0f792f7c,temperature_c,19.06,NORMAL,False,0.177,76.32
160,2026-08-01 03:25:00,3,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.84,NORMAL,False,0.3,76.8
161,2026-08-01 03:25:00,3,Saturday,greenhouse-A,392456de347a,temperature_c,17.41,NORMAL,False,0.465,77.28
162,2026-08-01 03:25:00,3,Saturday,greenhouse-A,6c0311990f41,temperature_c,17.67,NORMAL,False,0.407,77.76
163,2026-08-01 03:25:00,3,Saturday,greenhouse-A,17fc695a771f,temperature_c,17.62,NORMAL,False,0.411,78.24
164,2026-08-01 03:25:00,3,Saturday,greenhouse-B,de8a774b51be,temperature_c,20.19,NORMAL,False,0.176,78.72
165,2026-08-01 03:25:00,3,Saturday,greenhouse-B,b2b9437aae35,temperature_c,19.44,NORMAL,False,0.481,79.2
166,2026-08-01 03:30:00,3,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,17.34,NORMAL,False,0.359,79.68
167,2026-08-01 03:30:00,3,Saturday,greenhouse-B,8b8148f670dd,temperature_c,19.29,NORMAL,False,0.244,80.16
168,2026-08-01 03:30:00,3,Saturday,greenhouse-B,de8a774b51be,temperature_c,19.84,NORMAL,False,0.397,80.64
169,2026-08-01 03:30:00,3,Saturday,greenhouse-B,b2b9437aae35,temperature_c,19.62,NORMAL,False,0.441,81.12
170,2026-08-01 03:30:00,3,Saturday,greenhouse-B,562b0f792f7c,rssi_dbm,-61.5,NORMAL,False,0.46,81.6
171,2026-08-01 03:35:00,3,Saturday,greenhouse-A,17fc695a771f,temperature_c,17.7,NORMAL,False,0.333,82.08
172,2026-08-01 03:35:00,3,Saturday,greenhouse-B,562b0f792f7c,temperature_c,19.63,NORMAL,False,0.52,82.56
173,2026-08-01 03:40:00,3,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,17.19,NORMAL,False,0.363,83.04
174,2026-08-01 03:40:00,3,Saturday,greenhouse-A,392456de347a,temperature_c,17.8,NORMAL,False,0.658,83.52
175,2026-08-01 03:40:00,3,Saturday,greenhouse-A,6c0311990f41,temperature_c,17.87,NORMAL,False,0.476,84.0
176,2026-08-01 03:40:00,3,Saturday,greenhouse-B,472293896e3d,temperature_c,19.0,NORMAL,False,0.499,84.48
177,2026-08-01 03:45:00,3,Saturday,greenhouse-A,17fc695a771f,temperature_c,16.66,NORMAL,False,0.556,84.96
178,2026-08-01 03:45:00,3,Saturday,greenhouse-B,8b8148f670dd,temperature_c,19.38,NORMAL,False,0.274,85.44
179,2026-08-01 03:50:00,3,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.65,NORMAL,False,0.585,85.92
180,2026-08-01 03:50:00,3,Saturday,greenhouse-A,bdd640fb7d62,temperature_c,17.76,NORMAL,False,0.575,86.4
181,2026-08-01 03:50:00,3,Saturday,greenhouse-A,392456de347a,temperature_c,17.64,NORMAL,False,0.425,86.88
182,2026-08-01 03:50:00,3,Saturday,greenhouse-B,8b8148f670dd,temperature_c,20.06,NORMAL,False,0.329,87.36
183,2026-08-01 03:50:00,3,Saturday,greenhouse-B,472293896e3d,rssi_dbm,-65.7,NORMAL,False,0.104,87.84
184,2026-08-01 03:50:00,3,Saturday,greenhouse-B,562b0f792f7c,temperature_c,19.11,NORMAL,False,0.43,88.32
185,2026-08-01 03:55:00,3,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.43,NORMAL,False,0.418,88.8
186,2026-08-01 03:55:00,3,Saturday,greenhouse-A,17fc695a771f,rssi_dbm,-56.3,NORMAL,False,0.467,89.28
187,2026-08-01 03:55:00,3,Saturday,greenhouse-B,de8a774b51be,temperature_c,20.37,NORMAL,False,0.447,89.76
188,2026-08-01 03:55:00,3,Saturday,greenhouse-B,472293896e3d,temperature_c,19.95,NORMAL,False,0.346,90.24
189,2026-08-01 03:55:00,3,Saturday,greenhouse-B,562b0f792f7c,rssi_dbm,-61.1,NORMAL,False,3.59,90.72
190,2026-08-01 04:00:00,4,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.96,NORMAL,False,0.307,91.2
191,2026-08-01 04:00:00,4,Saturday,greenhouse-A,392456de347a,temperature_c,18.78,NORMAL,False,0.435,91.68
192,2026-08-01 04:00:00,4,Saturday,greenhouse-B,b2b9437aae35,rssi_dbm,-63.7,NORMAL,False,0.339,92.16
193,2026-08-01 04:00:00,4,Saturday,greenhouse-B,472293896e3d,rssi_dbm,-63.8,NORMAL,False,0.543,92.64
194,2026-08-01 04:05:00,4,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,17.71,NORMAL,False,0.318,93.12
195,2026-08-01 04:05:00,4,Saturday,greenhouse-A,392456de347a,rssi_dbm,-54.7,NORMAL,False,0.375,93.6
196,2026-08-01 04:05:00,4,Saturday,greenhouse-A,6c0311990f41,temperature_c,18.59,NORMAL,False,0.392,94.08
197,2026-08-01 04:05:00,4,Saturday,greenhouse-B,8b8148f670dd,temperature_c,20.48,NORMAL,False,0.38,94.56
198,2026-08-01 04:05:00,4,Saturday,greenhouse-B,de8a774b51be,temperature_c,19.62,NORMAL,False,0.331,95.04
199,2026-08-01 04:05:00,4,Saturday,greenhouse-B,b2b9437aae35,rssi_dbm,-64.5,NORMAL,False,0.271,95.52
200,2026-08-01 04:05:00,4,Saturday,greenhouse-B,562b0f792f7c,temperature_c,20.77,NORMAL,False,2.363,96.0
201,2026-08-01 04:10:00,4,Saturday,greenhouse-A,a3b1799d0cce,rssi_dbm,-59.9,NORMAL,False,0.252,96.48
202,2026-08-01 04:10:00,4,Saturday,greenhouse-A,6c0311990f41,rssi_dbm,-57.2,NORMAL,False,0.335,96.96
203,2026-08-01 04:10:00,4,Saturday,greenhouse-B,de8a774b51be,rssi_dbm,-64.6,NORMAL,False,0.378,97.44
204,2026-08-01 04:10:00,4,Saturday,greenhouse-B,472293896e3d,rssi_dbm,-61.4,NORMAL,False,0.424,97.92
205,2026-08-01 04:10:00,4,Saturday,greenhouse-B,562b0f792f7c,temperature_c,20.04,NORMAL,False,0.374,98.4
206,2026-08-01 04:15:00,4,Saturday,greenhouse-A,6c0311990f41,temperature_c,18.87,NORMAL,False,0.262,98.88
207,2026-08-01 04:15:00,4,Saturday,greenhouse-A,17fc695a771f,temperature_c,17.94,NORMAL,False,0.45,99.36
208,2026-08-01 04:15:00,4,Saturday,greenhouse-B,562b0f792f7c,temperature_c,20.32,NORMAL,False,0.407,99.84
209,2026-08-01 04:20:00,4,Saturday,greenhouse-A,bdd640fb7d62,rssi_dbm,-60.0,NORMAL,False,0.412,100.32
210,2026-08-01 04:20:00,4,Saturday,greenhouse-B,8b8148f670dd,temperature_c,19.64,NORMAL,False,0.476,100.8
211,2026-08-01 04:20:00,4,Saturday,greenhouse-B,472293896e3d,temperature_c,20.95,NORMAL,False,0.468,101.28
212,2026-08-01 04:25:00,4,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,18.18,NORMAL,False,2.341,101.76
